ID	d1	Topic	d1	Telugu	d1	English	d1	Clue	d1	Image	d1	Sound
224	|	US Presidents	|	ఫ్రాంక్లిన్ రూజ్వెల్ట్ 	|	Franklin Roosevelt	|		|		|	
225	|	US Presidents	|	ఫ్రాంక్లిన్ పియర్స్ 	|	Franklin Pierce	|		|		|	
226	|	US Presidents	|	డ్వైట్ D. ఈసెన్హోవర్ 	|	Dwight D. Eisenhower	|		|		|	
227	|	US Presidents	|	చెస్టర్ A. ఆర్థర్ 	|	Chester A. Arthur	|		|		|	
228	|	US Presidents	|	కాల్విన్ కూలిడ్జ్ 	|	Calvin Coolidge	|		|		|	
229	|	US Presidents	|	బిల్ క్లింటన్ 	|	Bill Clinton	|		|		|	
230	|	US Presidents	|	బెంజమిన్ హారిసన్ 	|	Benjamin Harrison	|		|		|	
231	|	US Presidents	|	బరాక్ ఒబామా	|	Barack Obama	|		|		|	
232	|	US Presidents	|	ఆండ్రూ జాన్సన్ 	|	Andrew Johnson	|		|		|	
233	|	US Presidents	|	ఆండ్రూ జాక్సన్ 	|	Andrew Jackson	|		|		|	
234	|	US Presidents	|	అబ్రహం లింకన్ 	|	Abraham Lincoln	|		|		|	
