ID	d1	Topic	d1	Telugu	d1	English	d1	Clue	d1	Image	d1	Sound
49	|	Animals_1	|	జింక 	|	deer	|	జింక_క్లూ	|	deer.jpg	|	deer.wav
50	|	Animals_1	|	కుక్క 	|	dog	|	కుక్క_క్లూ	|	dog.jpg	|	dog.wav
51	|	Animals_2	|	డాల్ఫిన్	|	dolphin	|	డాల్ఫిన్_క్లూ	|	dolphin.jpg	|	dolphin.wav
52	|	Animals_2	|	గాడిద 	|	donkey	|	గాడిద_క్లూ	|	donkey.jpg	|	donkey.wav
53	|	Animals_2	|	పావురము 	|	dove	|	పావురము_క్లూ	|	dove.jpg	|	dove.wav
54	|	Animals_2	|	బాతు	|	duck	|	బాతు_క్లూ	|	duck.jpg	|	duck.wav
55	|	Animals_2	|	బాతు పిల్ల 	|	duckling	|	బాతు పిల్ల_క్లూ	|	duckling.jpg	|	duckling.wav
56	|	Animals_2	|	గ్రద్ద 	|	eagle	|	గ్రద్ద_క్లూ	|	eagle.jpg	|	eagle.wav
57	|	Animals_2	|	గ్రద్ద పిల్ల 	|	eaglet	|	గ్రద్ద పిల్ల_క్లూ	|	eaglet.jpg	|	eaglet.wav
58	|	Animals_2	|	వాన పాము 	|	earthworm	|	వాన పాము_క్లూ	|	earthworm.jpg	|	earthworm.wav
59	|	Animals_2	|	మలుగు చేప 	|	eel	|	మలుగు చేప _క్లూ	|	eel.jpg	|	eel.wav
60	|	Animals_2	|	ఏనుగు	|	elephant	|	ఏనుగు_క్లూ	|	elephant.jpg	|	elephant.wav
61	|	Animals_2	|	 నిప్పు కోడి	|	emu	|	 నిప్పు కోడి_క్లూ	|	emu.jpg	|	emu.wav
62	|	Animals_2	|	జింక పిల్ల 	|	fawn	|	జింక పిల్ల_క్లూ	|	fawn.jpg	|	fawn.wav
63	|	Animals_2	|	చేప 	|	fish	|	చేప_క్లూ	|	fish.jpg	|	fish.wav
64	|	Animals_2	|	పూ కొంగ	|	flamingo 	|	పూ కొంగ_క్లూ	|	flamingo .jpg	|	flamingo .wav
65	|	Animals_2	|	మిన్నలి	|	flea	|	మిన్నలి_క్లూ	|	flea.jpg	|	flea.wav
66	|	Animals_2	|	ఈగ	|	fly	|	ఈగ_క్లూ	|	fly.jpg	|	fly.wav
67	|	Animals_2	|	నక్క 	|	fox	|	నక్క_క్లూ	|	fox.jpg	|	fox.wav
68	|	Animals_2	|	లేడి	|	gazelle	|	లేడి_క్లూ	|	gazelle.jpg	|	gazelle.wav
69	|	Animals_2	|	జిరాఫీ	|	giraffe	|	జిరాఫీ_క్లూ	|	giraffe.jpg	|	giraffe.wav
70	|	Animals_2	|	మిణుగురు పురుగు 	|	glow worm	|	మిణుగురు పురుగు_క్లూ	|	glow worm.jpg	|	glow worm.wav
71	|	Animals_2	|	మేక 	|	goat	|	మేక_క్లూ	|	goat.jpg	|	goat.wav
72	|	Animals_2	|	బాతు 	|	goose	|	బాతు_క్లూ	|	goose.jpg	|	goose.wav
73	|	Animals_2	|	బాతు పిల్ల	|	goosling	|	బాతు పిల్ల_క్లూ	|	goosling.jpg	|	goosling.wav
74	|	Animals_2	|	మిడుత 	|	grasshopper	|	మిడుత _క్లూ	|	grasshopper.jpg	|	grasshopper.wav
75	|	Animals_2	|	పసిరిక పాము	|	green snake	|	పసిరిక పాము_క్లూ	|	green snake.jpg	|	green snake.wav
76	|	Animals_2	|	వేట కుక్క	|	greyhound	|	వేట కుక్క_క్లూ	|	greyhound.jpg	|	greyhound.wav
77	|	Animals_2	|	చిన్న పంది 	|	guinea pig	|	చిన్న పంది_క్లూ	|	guinea pig.jpg	|	guinea pig.wav
78	|	Animals_2	|	కుందేలు	|	hare	|	కుందేలు_క్లూ	|	hare.jpg	|	hare.wav
79	|	Animals_2	|	డేగ	|	hawk	|	డేగ_క్లూ	|	hawk.jpg	|	hawk.wav
80	|	Animals_2	|	కోడి పెట్ట	|	hen	|	కోడి పెట్ట_క్లూ	|	hen.jpg	|	hen.wav
81	|	Animals_2	|	క్రౌంచ పక్షి	|	heron	|	క్రౌంచ పక్షి_క్లూ	|	heron.jpg	|	heron.wav
82	|	Animals_2	|	నీటి ఏనుగు 	|	hippopotamus	|	నీటి ఏనుగు_క్లూ	|	hippopotamus.jpg	|	hippopotamus.wav
83	|	Animals_2	|	గుర్రము 	|	horse	|	గుర్రము_క్లూ	|	horse.jpg	|	horse.wav
84	|	Animals_2	|	 జోరీగ	|	horse fly	|	 జోరీగ_క్లూ	|	horse fly.jpg	|	horse fly.wav
